date,median_house,gold_price,dow_open,gdp,fed_rate,13_wk,5_yr,10_yr,30_yr,unemployment,gas_price,earnings_chg,cpi,inflation,cars_sold,housing_starts,recession
Jan-95,127900.00,378.738,3739.20,3.50,4.94,5.55,7.84,7.82,7.88,5.60,1.19,337.00,150.3,0.40,14.80,1407.00,N
Feb-95,135000.00,376.745,3834.40,3.50,5.25,5.82,7.48,7.55,7.68,5.40,1.18,194.00,150.9,0.40,14.86,1316.00,N
Mar-95,130000.00,381.82,3843.90,3.50,5.56,5.76,7.07,7.23,7.47,5.40,1.17,211.00,151.4,0.33,15.26,1249.00,N
Apr-95,134000.00,391.339,4011.10,2.40,6.30,5.69,7.08,7.20,7.44,5.80,1.20,163.00,151.9,0.33,14.38,1267.00,N
May-95,133900.00,385.231,4157.70,2.40,6.10,5.70,6.88,7.06,7.34,5.60,1.26,-20.00,152.2,0.20,14.81,1314.00,N
Jun-95,133700.00,387.618,4321.30,2.40,6.04,5.62,6.07,6.29,6.66,5.60,1.28,237.00,152.5,0.20,15.41,1281.00,N
Jul-95,131000.00,386.138,4465.10,2.70,6.11,5.42,5.96,6.20,6.63,5.70,1.25,93.00,152.5,0.00,14.70,1461.00,N
Aug-95,134900.00,383.502,4556.10,2.70,5.55,5.42,6.16,6.43,6.86,5.70,1.22,256.00,152.9,0.26,15.37,1416.00,N
Sep-95,130000.00,382.931,4708.50,2.70,5.72,5.28,6.07,6.29,6.65,5.60,1.21,239.00,153.2,0.20,15.34,1369.00,N
Oct-95,135200.00,383.202,4610.60,2.20,6.20,5.27,6.00,6.16,6.48,5.50,1.19,157.00,153.7,0.33,14.86,1369.00,N
Nov-95,137000.00,385.209,4789.10,2.20,5.76,5.34,5.82,6.02,6.34,5.60,1.16,144.00,153.6,-0.07,15.38,1452.00,N
Dec-95,138600.00,387.445,4755.50,2.20,5.56,5.32,5.51,5.73,6.13,5.60,1.16,146.00,153.5,-0.07,16.26,1431.00,N
Jan-96,131900.00,398.695,5074.50,2.60,4.73,4.94,5.38,5.58,5.95,5.60,1.19,-5.00,154.4,0.59,14.81,1467.00,N
Feb-96,139400.00,404.919,5117.10,2.60,5.27,4.91,5.24,5.59,6.04,5.50,1.18,421.00,154.9,0.32,15.59,1491.00,N
Mar-96,137000.00,396.512,5395.30,2.60,5.81,4.86,5.64,6.03,6.42,5.50,1.22,257.00,155.7,0.52,16.04,1424.00,N
Apr-96,140000.00,392.87,5485.60,4.00,5.53,4.99,6.07,6.31,6.66,5.60,1.31,167.00,156.3,0.39,15.47,1516.00,N
May-96,136500.00,391.99,5587.10,4.00,5.41,5.00,6.44,6.69,6.92,5.60,1.38,328.00,156.6,0.19,15.99,1504.00,N
Jun-96,140000.00,385.245,5569.10,4.00,5.31,5.05,6.66,6.87,7.02,5.30,1.35,282.00,156.7,0.06,15.26,1467.00,N
Jul-96,144200.00,383.457,5643.20,4.10,7.80,5.04,6.48,6.72,6.91,5.50,1.33,242.00,157,0.19,15.07,1472.00,N
Aug-96,137000.00,387.51,5654.60,4.10,6.29,5.16,6.54,6.77,6.96,5.10,1.30,187.00,157.3,0.19,15.49,1557.00,N
Sep-96,139000.00,383.29,5528.90,4.10,5.28,5.19,6.79,6.99,7.15,5.20,1.29,211.00,157.8,0.32,15.53,1475.00,N
Oct-96,143800.00,380.909,5616.20,4.40,5.53,5.01,6.46,6.70,6.92,5.20,1.29,256.00,158.3,0.32,15.31,1392.00,N
Nov-96,143500.00,377.869,5882.20,4.40,5.19,5.01,6.04,6.31,6.62,5.40,1.31,295.00,158.6,0.19,15.71,1489.00,N
Dec-96,144900.00,369.338,6029.40,4.40,5.44,5.00,5.85,6.06,6.37,5.40,1.32,183.00,158.6,0.00,15.18,1370.00,N
Jan-97,145000.00,355.025,6521.70,4.30,6.26,5.05,6.20,6.41,6.63,5.30,1.32,220.00,159.1,0.32,15.68,1355.00,N
Feb-97,143000.00,346.4,6448.30,4.30,5.37,5.01,6.24,6.49,6.78,5.20,1.31,310.00,159.6,0.31,15.27,1486.00,N
Mar-97,148000.00,352.311,6813.10,4.30,5.50,5.09,6.41,6.58,6.83,5.20,1.29,317.00,160,0.25,15.82,1457.00,N
